Религия    Количество верующих(в милионах)  Количество верующих(в % от населения земли)
Атеисты		     140				 2
Буддисты	     470				 6.7
Индуизм		     950				 14
Иудеи		     15					 0.2
Не религиозные       660				 9.4
Синтоизм	     460			         6.6
Сикхи		     24				         0.3
Христиане            2310				 33
Мусульмане	     1580				 23
Местные верования    270				 3.9
			        
